,predicted,sentiment,text,textID
870,neutral,negative, Does it start tomorrow?  I was going to book Sam on that and forgot,53714350ac
871,neutral,negative," salt and vinegar, cheese and onion make your breathe smell lol  ****",b4401d6b4d
872,neutral,positive, You`re welcome. There!  I added you already!,05ff657624
874,neutral,negative," Sorry to hear about your dude probs, what is it that`s too much?",094e0509ad
875,neutral,negative,Discovered that Numpy arrays can hold values of any type.  Useful for manipulating arrays of numbers with uncertainties.,0182dd7de1
876,neutral,negative,"maybe i should take up drinking again, feel as if i have a ,massive hangover  still not ,yself today",5b70f8bc73
878,neutral,positive,TODAY FRIDAY: I really hope you will read my messages here and reply to me soon. I could not reach you by phone before you go to work.,98c02118e6
879,neutral,positive, whatever i know you like it.  HAHAHHAH!,f4f24160c3
880,neutral,negative,oh no! my fun weekend with friends is gone! my mother has made a family weekend of it!  ****,80420cfe74
883,neutral,positive,thanks timmy.  turns out he has strep and a high fever.,7abd932d50
884,neutral,positive," oh, that is very nice!! I will do something nice next week ~ going to Madrid next weekend for few days",ed298c6e5d
885,neutral,positive,keeping it chilled.,3257bafde1
886,neutral,positive,what a beautiful day not to got to my first class,2c150a0703
887,neutral,positive, Fabulous. And I didn`t get that pic  Gmail be acting the fool sometimes. Can u DM me it?,2252c58ab0
890,neutral,positive, yes it does,4477b985e5
892,neutral,positive,"I love waking up and thinking it`s a weekday, but then realizing it`s the weekend.",a7cf141043
893,neutral,negative," sorry bout the cat,",4b2b16581a
895,neutral,positive,Up and washed  I`m clothing myself as I type xD WOOOO,719934e5e0
896,neutral,negative, miss u too. I`m still at a club...u know...west coast ****!,dcba201932
897,neutral,positive, love love love pot psycology. My Friday night treat,a55208f877
900,neutral,positive,_art That would be the one.  It`s awesome sauce.,003816f151
902,neutral,positive," I`ve never been to Prague, but if i had the money, it`ll be in the 10 first cities I visit",898c63c69f
905,neutral,negative,"_ really!? that son of a ****, screw him, ill talk to on msn later k  xox",2a83e56667
906,neutral,positive," We didn`t...but we did have to wait a good twenty minutes for one.  Good night, though!",83b44dda65
907,neutral,negative, I always hope they will die out but then i see the the old ones and it makes me sad,b3fa6e5c24
909,neutral,negative, don`t follow me. You will ruin my twitter experience,83fc759a0b
910,neutral,negative,Blah to car repairs... almost 600 dollars...   Shopping around for a better deal.,ff9722bca7
911,neutral,positive,Weetabix and Choco milk  Yum!,ebf6233a5b
913,neutral,negative,I`m sad to have lost another person close to me to cancer,25ce9a8b1b
918,neutral,negative,"_la ben`s dreams make me so saddddddd  i want them to be togetherrr. i swear if this **** gets me bawlinggg, so help me..",9b2b40dda6
921,neutral,negative,30 year old Barbie dolls still can rock it...that girl was H-O-T!  and Ken ain`t so bad either!  now those are memories!,fb030409ab
922,neutral,negative,this weather makes my fingers numb / still waiting,ae1b11d7ec
923,neutral,positive, LOL yeah ima mama  thanks. happy mama`s day and lakers day! i love it!,8739e2666f
926,neutral,positive,http://yfrog.com/0xoxij Fry bread is good but they only gave me a little pinch of lettuce  ha ha,8c091fb754
928,neutral,negative,"got up at 8 today, and also misses his friend ",4addb8e422
933,neutral,positive,Gonna go to work with my honey today!!!! So exciting!!!,28db608c0d
934,neutral,negative,_ aww thats too bad you lost it though,7e45ea194d
936,neutral,negative,I hate going online and looking at the balance in the bank.  its always a lot lower than I need it to be.,f3de150883
938,neutral,negative,_x How did your Geo ISU go? I swear I just had the worse day ever..,bcc50747b1
939,neutral,negative,"And you could have it all, my empire of dirt! I`m in a&e with dad I`m freezing fully shivering Every1 else is warm  no fones allowed ffs!",357483f649
942,neutral,positive,Out for ultimate training. looking forward to the sunset!,ad37dcf4ff
943,neutral,positive,going to work once again. what a great few days off i had. now it`s over  but atleast i get 2 more commin up wahooooooo,5cd1ac2c57
946,neutral,positive,"'you said 'darling what happened? did I fall asleep, and you carry me home? Cuz I know I wasn`t here'' Goodnight twitterererers",cbd04fb4eb
949,neutral,negative, I broke my ipod,8eedc5a2ed
950,neutral,negative,_banks 'Something must be wrong. Only found 17 July Harl/Sil books I wanted,3b5aecf8d6
951,neutral,positive, Haha and you should! State pride is important,a154540c08
952,neutral,negative," Ugh, did you just say your friend might have swine flu? OMG, why?",48801ef73a
953,neutral,positive," haha no problem, it`s fun isn`****",91412dffcb
954,neutral,positive,"Finally got to wash my hair! I feel much better now, but I gotta dry it ... Effffffort.",68a9b81741
955,neutral,positive,finally feel back into swing of things here at work after getting married last week! sigh of relief for no more wedding planning!,458f7b2493
957,negative,neutral,Hates untalented **** being mean to my talented friends,c963a42282
958,neutral,negative,looks like we`re rained out for weekend climbing,3d17d4b72c
960,neutral,negative, oh ****!!,21d05898d3
961,neutral,negative, i dont really trust the judgements and vouches of _xo   jk. i`ll think about becoming a friend of yours,e76b1c30bb
962,neutral,positive, Jesus heals,2c5f261ff3
967,neutral,positive, did you tweet me? i thought i remembered seeing one but i cant see it now! SO glad teatree is ok!,93b5d1bbea
969,neutral,positive, Happy birthday in 2 hours and 54 minuets  Haha,45e3f93e9b
971,neutral,positive,Glad to see it`s a typical Bank Holiday weather wise - I was going to do so much today - yeah right!,b84ea78203
972,neutral,positive, Hayley Williams is pretty much amazzing,441dcaef31
976,neutral,negative, not really having a good night... missing my little girl...,e887fbdfd5
977,neutral,negative,  miss you captain,78094a1191
979,neutral,negative," OI, are you mocking the fact I dont cry at tv things?!  *Feels bad*xxx",e2fdad0321
988,neutral,positive,is excited!  http://plurk.com/p/stk04,6e693017f6
989,neutral,negative, hmmm really??? that`s weird idk about that one  sowwy,2c60e1c7a2
990,neutral,negative, oh that looks boring  and even more boring you have an exam on a saturday,b770afa9e6
993,neutral,positive, Thanks though - am trying to be positive!!  Wine may not be helping lol!!  Wish I could make the gigs.....,0d7697aa10
994,neutral,negative, i think my niece got me sickee  lame.,fe09df7e91
995,neutral,positive,Rise and shine  Time to get prettifide.,33eb5a33be
996,neutral,negative," I tried sooooo hard to work from home today, but failed  Not my fault though.",bab53b4152
1001,neutral,positive,I love my life  Ni night twitter!<3,0f4be91a14
1003,neutral,positive,Succesfully following Tayla!!,bd499c0bf7
1005,neutral,positive, Have fun tomorrow night. I think it will be more fun at a bar than art gallery. Wish I could be there,dacb6d78af
1007,neutral,positive,trying to learn to tweet!!  it`s all good I hope..,275fa7a3f8
1008,neutral,negative,"Bleargh. I can never clean as much of my house as I want to before work, no matter how early I wake up. Today: sink, laundry.",346ce6428b
1009,neutral,positive,"Great, social network sites are still growing",086bee572e
1012,neutral,positive, So...I was half asleep when I wrote the previous message. Greatest friends !!haha  You are!!,f7ac9e16e5
1015,neutral,positive,some of my new followers are pretty cool tweeps; check `em out.,002bb8f1b3
1016,neutral,positive,"no work today! went shopping, and now relaxing  &learning for the toefl",d112d2e5bf
1019,neutral,negative, yay asap lol awwh I miss our friday night happy hours even luna del sea and the 'boy' hahahaha,aa51082711
1021,neutral,positive, Cowboy westerns...haven`t seen those in a while. good luck,ea1e41d586
1022,neutral,negative, It`s already over? ****!,ba28fe48b2
1025,neutral,positive,My dad knows i got drunk today. And i didnt get in trouble.,52aad0e22e
1027,neutral,negative," Lol - I could try!  Seriously tho, dont do all of it! That sucks! ****",e93220b868
1028,neutral,negative, **** i wanna see the rest!! i only saw like 30 minutes,57ea442d4d
1030,negative,positive,"burning cd`s,,,,,,,,, **** outa blank disc`s",52fc580b72
1032,neutral,negative, you`re alive!!!!!!  Go w/ The Notebook...it`ll make you cry and stuff,fe2f3f3359
1033,neutral,positive, Okaii Cool!  I Can`t Wait For The Series To Begin It`s Guna Be Awesome  x,e170fafd8c
1034,neutral,negative,crying to A Walk To Remember as usual,b38df0845d
1036,neutral,positive,happy star wars day everyone  off to celebrate with the family... ok we`re not celebrating it but i am going round to the famo`s...,63e434fbf0
1037,neutral,positive,"I also have a certain CD from camp that a certain somebody gave me...  Yeah, there`s this guy in the video that`s really frickin hot!",43d10bd312
1038,positive,neutral,IT`S MOTHER`S DAY,6230b5c435
1040,neutral,positive,"we finally hit 1,000 friends! thanks!",c8caef9df3
1042,neutral,negative,I`m at work....bored out of my mind.,dce070190c
1047,neutral,positive, http://twitpic.com/4l85a - best kind of gum ever! I just bought a pack,5a34a7e52c
1049,neutral,negative, i tried. and failed,9b0db4e33e
1050,neutral,negative,"  just finished mine, some parts were remarkably difficult  cramming kanji now!",c9e8281f8c
1051,neutral,negative,why is everyones tweets about britains got talent?! i feel left out,cac1ba6f5a
1053,neutral,negative,They wouldn`t reverse any of my overdraft fees.,196e5dec12
1054,positive,negative,_N9ne I`m not having a good day,811dc7e401
1055,neutral,negative,i miss the Soulja Boy dance...,a777619b23
1056,neutral,negative,"I woke up an came to the realization that I can put it off as much as I want, but I need 2 drop some friends. Dammit!",8cdaa4f6d8
1057,neutral,negative,11 Days left until freedom. I really just want to get through this weekend. I hate essays.,6aa5004916
1058,neutral,positive,  lol you guys are awesome,ff7949688c
1059,neutral,positive,"Home, good night world",309706ed4f
1060,neutral,positive," http://twitpic.com/4vtlm - awww, she is really cute",29091877e1
1061,neutral,positive,got alot of runnin around to do today to get this job app completed so they can have it on file... so glad i got this job!!,afa094db6a
1062,neutral,negative,lappy charger is completely dead... conserving what`s left of the battery until i can afford to buy a new one,b694518332
1064,neutral,positive,Happy Mother`s Day all of the mom`s around the world!  I love mine more than anything in the world and can`t wait to celebrate! WOO!,0b3588bf63
1065,neutral,negative,I put a real pic of myself up. I`m going to miss the avatar.,0d401237c2
1066,neutral,negative,doing my folio work but keep on getting distracted by deb pics,3922543d77
1068,neutral,negative,I can`t sleep. I can`t find my grandmother`s quilt or locket. I`m sick at myself cause I may have lost them somehow. Or they were stolen,564c21df63
1069,neutral,negative,Had to take my bad **** dog to the pet hotel....so sad,2c8062a094
1073,neutral,negative,"Wow, its hot and miserable. People are probably killing themselves right about now...",97eeb0161d
1078,neutral,positive," i would but he`s premiering avatar footage and can`t do it then. also, we better hang out.",2ef49da640
1079,neutral,positive,Home from Chelsea`s  Jam sessions = <3 = Chelsea + Abby = I luh you.,7db53ed89f
1080,neutral,positive,we`ll be visiting my grandparents later. BTW i just heard katy perry`s HOOK UP whew so cool i love it more than k.clarkson`s version,a2819eaa7a
1081,neutral,positive,"  very sweet!!! HAHA. I am like super proud to be a new mom!!! I feel like, i got the PERFECT daughter. And i am a GREAT mom!!!",37b50ef2a5
1082,neutral,negative,gosh im bored. its early..n i wanna go..to sleeeepp why am i at work?  *kay<3*,4cc7d9995d
1086,neutral,negative, I hate cottage cheese.  I even got some fancy stuff last weekend with lemon and berries...I could only eat half of it.,0c8dd8b628
1089,neutral,positive," you should come to Estonia, I know some epic horses here, hehe, and a good trainer and good beaches were to ride!",f97b498af4
1091,neutral,negative,Just got laid off  stupid economy!,0187f448b1
1092,neutral,negative,http://twitpic.com/67i90 - My plans have been ruined,e833f3a85d
1093,neutral,positive,"nothing better than to have your Grandaughter smile and nothing feels better than that big hug!! Grandkids, what a hoot!",f980f61df3
1095,neutral,positive, oh I know. and I aprreciate it  it can be my back up plan,18ee7c255c
1096,neutral,positive," Yes, I would love some more cowbell!",f7dc083f08
1101,neutral,negative,Trying to get to sleep but mum is blaring Les Mis really loudly in the sitting room,e1c4ad96a0
1102,neutral,negative,"Don`t think I`m gonna be able to go to see the JB 3D Concert...wrong time, no where very close by",68e6a47c75
1103,neutral,negative,"I`m a sad panda, hulu doesn`t have the elephant show   no Skinnamarinkydinkydink sing alongs for me.",05f4f3ddc3
1106,neutral,negative,I`m gonna cry    I went bad at my History test ! I really hate History  !,c10d6fac3d
1110,neutral,positive,_ Truetrue  But he`s not! xD,4b2b6a59d4
1111,neutral,negative,"Sad I missed  going away party due to too much work, but I really am gonna miss that kid",80a1ed08bf
1113,neutral,negative,One of the most random phone calls ever. My god kill me now.,a1833e30a5
1114,neutral,positive,& more #<3criminy cuteness! http://tinyurl.com/cd8yab #sinfest,f820ad932c
1115,neutral,negative,"the neighborhood gas station is gone, kaput, out of business. No more convenient trips for ice or whatevs. over 3 miles now to travel..",9e25d010e9
1116,neutral,positive,tomorrow`s mother`s day  me n my sis gonna make an onigiri for our mom~!! its gonna be so kewl!! cant wait for tomorrow >_<,a3b686ba61
1117,neutral,negative,it makes me sad when people phones are sick,5d9b0f4b31
1118,neutral,positive,taking care of sick children,7e69bec42c
1120,neutral,positive," Same here - events + writing songs. But I just finished my TMNT vs MMPR song, so I`m excited to record that on Wednesday",d78be7b22e
1122,neutral,positive, oh sweet! I`ll definitely check it out when I get the chance...,f2f05cbdae
1124,neutral,negative,"I want to ride my bicycle today, but it`s too cold and cloudy today",9b04365a55
1127,neutral,positive," Thank you! One day at a time, right?",1cd62f2da1
1128,neutral,negative," I missed mine, too. Not fun...",170f84ffcf
1132,neutral,negative,Danny cut his beautiful curls,ca10e6b390
1134,neutral,negative,forcing myself to watch the movie 1984 for my book report  im lazy to read,16b8e23839
1135,neutral,positive," thanks amy, its full of hotness",e9dd5ad752
1136,neutral,negative, don`t think i can take a needle. watched a horribly gory short film on drugs a few months ago. i`m scarred for life.,a1ac7a0543
1139,neutral,negative,can`t be arsed to get out of bed  hello sunshine,8d85d53e36
1140,neutral,negative,Every pair of jeans I own nowadays is very tight.  I think mah butt gettin big (oh!),320a6e56fc
1145,neutral,negative, Cheese and Onion! Vinegar taste weird on crisps! England`s got loads of weird crisps flavorus  lol.. What do you like ? x,bcbc9b5e75
1146,neutral,positive, Thank yooou! I might have to get it seen to... hm...  ****,93236f076c
1147,neutral,positive,Ohh grandpas.. Stable.. Won`t kno all details til tomorrow when I visit... Keep him me and my fam in ur prayers..thank you  ... Goodnite,be4b907022
1148,neutral,negative,Sore throat. This is not good. I have four performances this weekend.,760723a562
1149,neutral,negative, it because your handwriting isnt on any of them. and everyone is making fun of me because im sitting by myseld in the lrc,f66a3af202
1150,neutral,negative,So disappointed about the talent lineup for 'Reventï¿½n Super Estrella 2009'...hmm...Have the feeling I won`t get tix this time around.,6e60ed6d59
1152,neutral,positive," can I come!?   I`m Merci btw., I have always been so inspired by you since I was a teenager.",412790a2ed
1154,neutral,negative,its freezing cold! i cant function right in this type of weather. starving to the max,4683236241
1155,neutral,negative,Anyone ever had that heavy feeling of sadness in their hearts? Thats my case rite now.,3b45abf7b5
1157,neutral,negative,_k_2k - Y!360 closing? get out!,c3a4f9710d
1160,neutral,positive," aww if I could, I would...  GBY ;)",7b9f3f4f39
1161,neutral,negative,I ate too many kisses.,88c7658eb5
1162,neutral,positive, Thanks for the warning. Good thing my heart is unbreakable.,474b02cd39
1164,neutral,positive, ... like you`re stuff!  Strange voicemails! http://bit.ly/yKxms,c7e1468a65
1169,neutral,positive,"True to form, Bank Holiday Monday looks like it might be rainy. Hope it holds off til later, family&friends plan walk and picnic today",7240ccb4b2
1171,neutral,positive,Thinks FML should changed to LML (love my life),4f05a05989
1172,neutral,negative,"Ha,  i`m giving spymaster a chance - just curious! will miss u",f4c7e939ef
1174,neutral,positive,"Loves the 2nd half of even days, orch and jazz band with daddy",9048ec6e22
1175,neutral,negative,is tired. And turning off the Internet. You can play on it in the morning.,c8a8b0e791
1178,neutral,negative,Just got notified my podcast was accepted into iTunes. http://budurl.com/SBit Of course I then realized it was miss formated  Fixed now.,0b91f39c27
1179,neutral,positive,Heyy.thnxx.or.inviting.me.to.ur.party.rob.ill.be.down.there.on.june.24th.ill.miss.u.when.u.go.to.italy....   <333333333 txt.me.hon!!!,bc28048a07
1180,neutral,negative,is tired of summer already,9f32a3213d
1182,neutral,negative, I`ve given up on pizza - kids would never let me have my fav  (the hot ones),fc7842b0b4
1183,neutral,negative,im hangin out with my cousin holly and tlkin 2 my grandparents.......  my phone went dead,3285374ab0
1186,neutral,negative,i wish i could teach my dog how to play xbox!  alas...no thumbs,8bb73c2ccd
1188,neutral,positive, thanks! I`m totally bushed today though time for some coding,c635a113c8
1192,neutral,positive,Omg!!! Is this the sun glimpsing through the clouds?! Woohoo!,dbabff5048
1193,neutral,negative," haha yea, i just feel like its being taken the wrong direction, used to be a cool place, now its a mess",0415387eb8
1194,neutral,positive, shes must be a truly amazing woman for having a phenomenal son..,d26016300e
1195,neutral,positive, very nice...i cleared my head,e150ad9d31
1199,neutral,positive," umm get ready, help my mum, give GJ his presents when he gets up (could be a while), wait for people to arrive, then party",a9a725abfa
1204,neutral,negative,#asylm yay registered but lost all my friends,3d0c74e523
1205,neutral,positive,"church bellss are ringin  got to go. adieu,(god bless in german)",0de2a265ef
1207,neutral,positive, watching dor on utv movies again great performance,cc3b05f756
1208,neutral,positive,did U watch the spelling bee contest ? winner: Kavya Shivshankar ! Impressive performance - i had not even heared most of the words b4,5524acce17
1209,neutral,negative, probably not in this weather,b33e54d9c8
1212,neutral,negative, no wonder you hate driving and country roads and stuff,496abe9ad9
1213,neutral,positive,heading out to (a long)band practice. last one before our first show on Saturday night. Hope it`s a good one  http://digg.com/u12MIW,5b204b5429
1214,neutral,positive,says HAPPY MOTHER`S DAY TO ALL THE MOMS OUT THERE!  http://plurk.com/p/stezd,c0414a6961
1215,neutral,negative, sorry to hear your news,65bef2f8c9
1217,neutral,negative,sad.. Daniel is leaving Florida now.. just gave him a big hug,4b34697ec5
1218,neutral,positive,it`s mother`s day...i already bought and gave my mother`s day present to my mother.,36c50ba510
1219,neutral,negative,Best friend is leaving to go back to school today..I am so sad,cea5b3f191
1222,neutral,positive,has a new nick name - arosh ..i like i like,cb8ff954c0
1232,neutral,negative, i guess you get loads of emails & people asking you stuff al the time but i seriously wonder if you ever read my comments  x,e02cb0c9a8
1234,neutral,positive,Ahh... I love Chinese music. Haha.  Not gonna see my luff til Thursday...,4b8092674a
1235,neutral,negative,People are people...nooooo? Id never have guessed tht...idiot..im grouchy now,ef7149efd3
1236,neutral,positive, i see you hannah klein!. lookin good today,c00890fdfc
1237,neutral,positive,aha _marie my brother`s wallpaper on his phone is Dolly The Sheep  aha i`m loling.,e3592de395
1243,neutral,negative,Mudweight hauled in for last time by   http://yfrog.com/0zr2jqj,ea1b1fd1bb
1245,neutral,negative,"i cant believes its already Monday, the weekend went by soooo fast, keeping my fingers crossed that will too",17d1fdde01
1246,neutral,positive,"Barack Obama is a legend, just watched his dinner speach, it was pretty funny",91de6a547d
1248,neutral,negative, Ouch. I won`t be down in Miami tomorrow morning. That sucks  It`s a cruise? Are you driving back the next Saturday?,fd9f6c3e21
1249,neutral,negative,sadd..  last night in fl.. going back to AR tomorrow,c3892f8e77
1253,neutral,negative, no. my school will start on June1.  two days to go. i still don`t want. :l,b09213d54b
1255,neutral,negative,"Tbh having no credit in your phone sux. i cant even text people to see what`s happening, like its totally grrrsville",5813e09e81
1257,neutral,negative,This month was a bad month to try and get an advert together for Kobold Quarterly,6816923abd
1258,neutral,positive, I`m concerned for that family,2524332d66
1259,neutral,negative,Idk i cant do ****,1900a6978a
1260,neutral,negative,only gets spam in her college email account now. What a way to rub in graduation.,e8d9d9671b
1261,neutral,positive, I`m very much in tune with your words today. Thanks.,c69ccdfa56
1262,neutral,negative, how are you gonna get them? I got bitten,3c6723fa1b
1263,neutral,negative," I`m so sad I missed your calling time, I got home from practice too late",85e2495324
1264,neutral,negative, im jealous.  im slaving away at the store and youre chilling on the boat.,16b52fbd17
1267,neutral,negative,I got up early to pay bills. I figured its like a bandaid if I get it over quickly it won`t be so bad... I was wrong,1643564ce1
1268,neutral,negative," ooh, work im afarid  looking forward to a sunny weekeknd tho!!!",b4b9d74b06
1272,neutral,positive,putting 3 new consultants to work this week. it`s a good feeling!  congrats on your offers,7d59117a75
1275,neutral,positive,Just snappy`s delivered some tea and ice cream. I love my sister.,fc4660a609
1277,neutral,positive,FRIDAY so freakin happy today was an annoying day  buuut WEEKEND! TGIF<3,337ebe2747
1278,neutral,positive, YEP  it`ll be awesome to the max =] haha,9db7e301b9
1279,neutral,negative,"_ Heading off to Poole around 4ish,  has some serious gardening to do before we go, no Tweetdeck til Sunday evening,",7013b54ea6
1280,neutral,negative,too sick for rigging tomorrow.,990c3cf35f
1281,neutral,negative,Have to go to the dreaded DMV tomorrow,10c5d92ceb
1282,neutral,negative,"Is on her way to nottingham! ICOF tonight, then no more gigs umtil download. Fail",b8293bb838
1285,neutral,negative, Hey! r u back in La right now?What was ur favorite part bout Europe? I`ve never been out of the country xcept Canada  XO Jenna,4d3de34efa
1287,neutral,positive, I wish I could have time for my xbox  project all tied,356fce670b
1290,neutral,positive, Yay I love it when you host Money For Breakfast Jenna Lee  4hrs of you the amazing and so pretty and sexy Jenna Lee yay.,5534df9445
1291,neutral,negative,Gutted. The kitchen is empty literally EMPTY. No even kidding. I`m so hungry,ea390d1f7b
1293,neutral,negative,_jtv WHAT! I was only gone for 30 minutes and you`re already showing boobage without me?,58aa2e3401
1294,neutral,positive,"  I just got through doing my work now I can take the whole day off, its great being your own boss",d65a8658b0
1295,neutral,negative,"  poor you lmao, just stick your head out the window!",3e99f423ba
1296,neutral,negative, etherreal WAS my main preoccupation. Now it`s EtherREAL`s preoccupation... humm... me ? schizophrenic ?,d1b38c33f4
1297,neutral,negative, dohh! is it old? I had never heard it.. I`m so last year..,0345e7e526
1298,neutral,negative, Instrumentalists like to give singers a hard time. But the vocalist`s job is the toughest when he/she is sick.,53eacec2ef
1299,neutral,positive,Just got the Nashville IHOP staff to hit the Dougie with me and Mayne. What a **** night,ad2d036578
1300,neutral,negative,I miss matt today,9e5e8ab6a4
1303,negative,neutral," Inorite, humid as well",3da51fc31b
1304,neutral,positive,Heading back home with a win!,ddc89d5956
1307,neutral,positive, I really wish I could,23ea783065
1308,neutral,negative,I`m very conflicted here.  I really like Mike but I still have feelings for Darrin.  It`s really complicated.  I don`t know what to do.,dbae8ffc58
1311,neutral,positive, noticed that yesterday too...i`m actually really happy about that  #StarTrek,25080c4bad
1313,neutral,positive,"Okay so yesterday was good went food shopping, cooked some chicken tacos and bakes some cookies!!!  Now I am back at work.",580f2c99e1
1314,neutral,positive,Looking at our photo shoot pics...check out our myspace pics to see them...i love them all...,e243bee98c
1316,neutral,positive,"little beetle not feeling any love  Searches are bring up zilch, bar 2 peeps that appear funny !!!",95410148bf
1321,neutral,negative, LOL Me too. Going out at 12am isn`t as easy as it used to be,29d1ec5e7e
1322,neutral,positive, Quite a few. Peacocks and Oceanographer`s Choice are my new favorites to play,78a3ef0435
1323,neutral,positive, yeahhh! u`ve got plenty of great fans!! And in Spain too! u should come and play a gig here!!,f71ed6b273
1325,neutral,negative,ugh! nothing to do in the valley  Seriously gotta move out of here!!!,b145670ac9
1330,neutral,negative,"28deg C in here, all this tech in my room does have the major downside of a lot of heat, doesn`t help its hot outside 2",cc1a219c1c
1331,neutral,negative,wow the last hour of twittering that I`ve been doing has yet to be sent over to twitter..  guys bare w me...,1eac051f9c
1334,neutral,positive,"_leigh Thank you,!  Just trying to stay in a positive head space to keep pushing through it all. How`s things at your end?",61ee532258
1336,neutral,positive,"Enjoyed this week off work, back next week",7bbc5a2473
1337,neutral,positive, I`m come and try to find you and be your fan too,dd2a769f04
1338,neutral,positive, hey i know ya dont know me but i wanted to say yopu have helped me a lot i was over in iraq and i wanted to thank you,b4ebfb22c6
1339,neutral,negative,Feeling very tierd! too much college work!!!!!!,51bdb4d865
1340,neutral,positive,mmm...reconsituted meat products and week-old veggies...gotta love that rehydrated warm milk for breakfast,f948e704f4
1341,neutral,negative, oh no  say it aint so,87fa9ce0c5
1343,neutral,positive,thank god for some overcast and ivory. Trying to get my mom to take me out to lunch egh doesnt look like its gonna work.,5e14887b13
1344,neutral,positive,"  Cant Thank YOu Enough, WHo is NITIN BETWEEN?",85eb03d6b8
1346,neutral,negative, well piss on that. I can`t get into their site @ work nor does it come thru on my phone.,36631a41d0
1347,neutral,negative,http://twitpic.com/670ar - this is post guitar hero **** kicking,8f11bf53a2
1348,neutral,negative, i dont like #kde since ver. 4.0 its like vista  #fail,7e21d8a7ab
1352,neutral,positive,"I need some motivation in my life, oh and some love would be nice too",9b7811b2e0
1354,neutral,negative,"I can`t wait to start my weekend. I`m so sick of working, I have to self-medicate, and I`m fresh out of herb",bcd7910701
1355,neutral,negative,_Itx no credits for me unfortunately!,7c229b34c1
1356,neutral,negative," It`s ugly and gray outside even in San Diego. Not too cold, will get to 70, but May-gray June-gloom for us all",f26105a320
1358,neutral,positive,cookies are good,b34a3fd669
1360,neutral,positive,"_griffiths There was a good atmos. I decided to stay til closing, very funny!",8531be3694
1361,neutral,positive,  supporting superfly all the way,70187852a7
1362,neutral,positive," I would lime them. Or lemon?  And deal, sounds fabulous to me!  Text me up when you`re back",31d03bff54
1363,neutral,negative,Why don`t you make me feel like you used to,2938f51a3a
1368,neutral,negative, unfortunately I didn`t leave the house in time,237b093176
1370,neutral,negative,when da heck will the garage man get here I ask you.. WHEN..,a8a1e94417
1373,neutral,positive,"Hey, hey, happy mother`s day!  http://plurk.com/p/svwii",bd3b30d13c
1375,neutral,positive,_alfradique No fun   Well hopefully you don`t have much more to go...,570a5c063b
1377,neutral,positive,mothers day...love you madre   chels tonight. cant wait for her to see her present!,038a99e313
1378,neutral,negative,Conference call with HP.  They gave me an invalid pass code so I can`t attend,8862c02132
1381,neutral,positive, FUZE was giving away capes at Komen`s Race for the Cure today! And I`d always love a hug from you hun!,db76d74945
1384,neutral,negative,The lab informs me the logic board is dead as well. It is farking expensive to replace. I don`t know what to do.  #MyPowerBookG4RIP,361b6281a6
1385,neutral,positive,We just hit 10000 views on myspace! Thanks everyone!,1fb696a58c
1389,neutral,positive,I`m not ready for my baby to be 3 tomorrow  she is growing so fast....,8255b23e72
1394,neutral,positive,lao mein and spanikopita HAHA you would have to be here to know,93eb6effbb
1395,neutral,negative, PS: Wish I were coming tonight.,30abfb5b07
1396,neutral,negative,i hate feeling like this about him  i need a break away from everyone... as soon as exams are over i`m defo off to portsmouth for a bit,419862456e
1399,neutral,negative, what did you think of the finale?  I thought it was kind of a cheap way out,0eb1ab3558
1402,neutral,negative,Why am I always the one on time. They are always late. I wanna sleep. I miss Mere.,b56c29ed7d
1403,neutral,negative, I want an invite - sick of seeing all these links for people playing and being left out,f1f8d50eff
1405,neutral,negative,I miss my puppy,97fd42d38b
1407,neutral,positive,in San Jose.   having good time w/ bros.  Also helped dad edit next  Holy Land brochure. wish I could go!,20967289f5
1409,neutral,positive, how`s the fam? Well I hope.,9b1060a30e
1410,neutral,negative,">>Why did the Blonde Keep failing her drivers license test-------->>>>>Everytime they stopped, she jumped in the back seat.",704dfebd66
1411,neutral,positive, Come to Rochester with me and Nikki. Beer and a Hog Roast always helps.,1177c602c8
1415,neutral,negative,He put a **** mohawk in my son head.....he just killed my vibe as always,5d8102cab8
1416,neutral,positive,"Well, she`s getting through.",3fcdacf90f
1417,neutral,negative,No kickboxing classes today  pretty bummed. Still going to work out hard. http://myloc.me/1ZT0,17d1a66db4
1418,neutral,negative,all alone for the weekend!,4d22612bb6
1420,neutral,negative,Poor dead Josh.  http://bit.ly/JKpHn  Please leave your messages of condolences there.  #boy #rip,da72cfc9cc
1421,neutral,positive,watching the rain and reminiscing about the time when everytime it rained I was with the love of my life.,fd57cd4c4e
1424,neutral,negative,This is how much hair falls off everytime I shower. It`s more sad than disgusting  http://yfrog.com/6p190aj,41ff25c568
1426,neutral,negative,Wish I had a laptop charger so I could tweet faster,00b7a60703
1429,neutral,negative,"Waaah, asshat at CVS yesterday shortchanged me  I paid 10$ for chips.",c9d4cf96af
1430,neutral,positive, Happy Mom`s Day!  Here in Spain it was last Sunday!! Any hint of when the first single will be out on radio? LYM!!  Mini,733ac52be6
1432,neutral,positive, not sexy with 2 tubes sticking out of my stomach  but thanks !,8b1ef2334e
1434,neutral,positive,listening to David Archuleta album it`s amazing,9f42f42b4f
1435,neutral,negative, aww...thats a bummer,98cfd1162e
1436,neutral,negative,I dont wanna im to spanish today,00c8cfed18
